"CEREAL","BAKEPROD","MEATS","DAIRY","FRSHFRUT","FRSHVEG","PROCFRUT","PROCVEG","SWEETS","NONALBEV","OILS","MISCFOOD","ALCBEV","SMOKSUPP","PET_FOOD","PERSPROD","DRUGSUPP","HOUSKEEP","AGE_REF","BLS_URBN","FAM_SIZE","FAM_TYPE","RACE_REF","HISP_REF"
0,0,27,0,0,6,4.99331,4.00669,0,0,0,15,0,0,0,0,0,0,32,1,3,3,2,2
10,2,45,3,0,14,9.36785,18.63215,3,8.56,2,19,0,0,0,0,0,0,32,1,3,3,2,2
0,0,0,0,0,0,0,0,0,0,0,0,0,44.24,0,0,0,0,53,2,4,5,2,2
0,0,0,0,0,0,0,0,0,0,0,0,0,44.24,0,0,0,0,53,2,4,5,2,2
0,7.38,19.73,12.79,10,8.59,3.5,0,0,19.76,2.5,21.78,0,0,0,7.49,10.59,76.38,42,1,2,3,1,1
0,3.79,19.23,12,16.59,17.33,4.70764,12.29236,0,19.43,4.99,14,0,0,0,0,0,39.36,42,1,2,3,1,1
5.28,1.34,15.86,2.79,2.5,8.88,0,26.96,6.67,0,0,5.49,9.93,0,0,0,0,6.04,70,1,1,4,1,2
0,5.17,24.13,18.23,0.42,9.52,0,0,4.18,4.64,0,6.06,21.78,0,0,46.79,0,0,70,1,1,4,1,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1,3,5,1,2
2.49,4.59,19.82,5.58,2,2.99,0,0,0,5.3,0,16.04,19.5,0,0,0,0,0,46,1,1,4,1,2
0,21,45.96,2.99,9.24,1.67,0,1.77,0,19.06,0,32.76,0,0,0,0,0,0,46,1,1,4,1,2
0,7.75,0,2.09,3.99,4,0,2.48,0,12.19,0,22.08,0,0,0,0,0,0,76,1,2,1,2,2
0,0,11.47,4.27,11.45,0,0,0,0,0,0,3.48,0,0,0,0,0,0,76,1,2,1,2,2
0,7.24,59.92,16.27,4.14,12.56,7.24,0,0,27.39,7,18.15,0,0,0,0,0,13.04,62,1,1,4,2,2
5.49,2.8,90.98,0,0,1.76,2.38,0,2.9,6.23,4.67,12.14,3.63528,0,0,0,16.35,5.44,62,1,1,4,2,2
0,5.08,0,3.36,0,0,0,0,1.79,0,0,3.98,0,0,0,0,5.94,0,31,2,4,3,1,1
3.96,4.98,0,9.41,0,0,0,0,0,0,0,8.11,0,0,0,5.37,0,0,31,2,4,3,1,1
16.98,12,48,25,39.88,16.48,16,4,0,25.06,9.5,27.98,0,0,0,20.37,0,23.38,49,1,4,2,1,1
14.9,17,42.5,43.3,27.9,21.5,9.8517,16.1483,3,24.82,2,36.1,0,0,0,5.44,0,26.66,49,1,4,2,1,1
6.78,0,42.54,39.1,24.52,44.86,0,3.33,11.17,0,0,10.63,8.35,0,0,8.36,0,0,43,1,3,2,1,1
7.44,8.36,6.26,13.89,27.38,0,0,0,8.46,0,0,0,0,0,0,67.93,10.45,48.63,43,1,3,2,1,1
0,3.08,0,0,0,0,0,0,0,0,2.65,0,0,0,0,0,0,0,57,1,1,4,1,2
0,0,1.99,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,28.91,57,1,1,4,1,2
0,11.26021,9.36538,6.9581,5.76631,0,0,0,3.08806,6.91105,5.22143,18.11948,101.96,0,0,0,0,66.81,66,1,2,1,1,2
2.69,6.98,0,10.16,0,8.14,0,2.5,3.19,2.98,6.99,9.99,38.25,0,0,25.44717,617.99277,2.09176,66,1,2,1,1,2
0,1,44.42,5.65,16.11,12.58,0,2.78,0,1.74,0,4.06,0,0,0,3.25,0,21.54,73,2,2,1,1,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,2,2,1,1,2
0,16.75,2.15,0,0,1.25,0,3,0,1.91,0,48.5,0,0,39.46,0,0,0,63,1,1,4,1,2
8.26473,11.2957,15.05122,5.61039,5.62521,4.00237,0,4.71615,0,10.39851,4.74723,12.2185,0,0,14.25,0,0,0,63,1,1,4,1,2
2,34.50267,57.26,16.46,21.55,32.56,0,3.99,2.57,33.64,0,20.22733,0,0,0,31.75,6.44,45.97,43,1,4,2,1,2
3.99,30.63,26.39,21.4,38.09,13.96,0,5.5,0,25.74,0,23.53,0,0,0,0,1.49,8.51,43,1,4,2,1,2
15.63301,17.88472,53.04549,36.63455,20.60691,16.48374,10.39271,5.84247,15.07618,31.54986,11.91433,64.606,0,0,0,0,0,32.31401,30,1,2,1,1,1
2.29,0,7.68,6.48,0,7.64,0,0,0,0,0,0.89,0,0,0,0,0,3.23,30,1,2,1,1,1
0,3.99,14.99,6.48,5.99,0,3,0,0,2.16,0,2.99,0,0,0,0,0,0,38,1,2,3,2,2
0,0,0,11.98,6,0,0,0,0,8.7,0,6.99,0,0,0,0,0,0,38,1,2,3,2,2
0,0,0,0,0,2.69,0,0,0,0,0,16,0,0,0,0,0,0,74,1,1,4,1,2
0,0,0,2.5,0,0,0,0,0,17.49,4,0,0,0,32,106,4.95,7.41,74,1,1,4,1,2
3.5393,3.45496,6.03697,3.71959,7.43607,0,0,4.15844,3.08729,0,0,8.56739,0,0,0,0,0,0,76,1,2,1,1,2
3.4567,7.67906,4.33207,0,0,0,0,4.0274,2.99,0,0,17.51477,0,0,0,0,0,0,76,1,2,1,1,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,1,1,4,2,2
0,0,3.53,13.7,0,4.03,2.66,0,0,4.76,4.24,21.64,0,0,45.79,0,0,0,68,1,1,4,2,2
4.99,9.13,9.39,8.85,1,2.49,0,0,0,0,9.99,14.26,37.34,0,0,39.58,10.03588,30.40326,54,1,2,1,1,1
0,1.69457,51.83,13.86,5.79543,14.67304,0,6.76696,0,2.39,0,16.76,31.01,0,0,0,0,0,54,1,2,1,1,1
0,7.37,152.57,10.45,0,6.39,0,0,0,3.94,8.81,11.66,34.86,0,33.1,0,18.92401,11.52,43,1,3,2,1,2
4.73,11.38,8.28,10.86,0,0,0,4.16,0,22.35,0,43.42,38.64,0,0,23.91,72.68284,23.11,43,1,3,2,1,2
0,4.27,4.5,17.72,0,1.28,0,0,6.15,18.86,3.37,50.46,0,25.27,12.1,0,0,0,65,1,1,4,1,2
0,10.19,7.18,10.26,1.53873,0,0,0,7.07,13.73,2.56127,23.02,0,16.32,3.06,0,0,0,65,1,1,4,1,2
7.68,2.99,6.98,10.76,6.12,14.33,0,7.43,2.28,7.75,0,18.63,5.92151,0,0,5.64,0,4.23,29,1,1,4,1,2
0,8.75738,20.50015,7.32249,18.96868,18.53029,0,0.79,9.48303,3.5042,4.76426,32.09957,64.42145,0,3.57996,0,0,0,29,1,1,4,1,2
21.18,7.6,31.53,12.09,5.23,25.77,1.74183,2.32817,0,0,3.95,19.32,20.9,0,0,3.12,0,0,65,1,2,1,4,2
4.17,14.08,30.69,5.01,2.59,25.17,0,0,0,12.31,0,34.52,10.44,0,0,0,0,7.72,65,1,2,1,4,2
0,10.39139,46.61763,6.89177,3.98401,2.20509,0,0,1,8.53172,5.76645,59.05196,13.5,0,0,12.42,0,0,44,1,2,3,2,2
0,0,0,0,0,14.94,0,0,0,4.24,0,0.79,0,0,0,0,0,0,44,1,2,3,2,2
